"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"The company said they were looking to __________.","hire","0.3700","9.38","22","0.59","2.5200","15","16"
"The manager thought Cheryl was the right person to __________.","hire","0.4200","9.38","22","0.59","3.0800","15","16"
"Suzy saw a sign that said babysitter for __________.","hire","0.8800","9.38","22","0.59","0.8800","15","16"
"Fran's boss thought David was good enough to __________.","promote","0.4500","9.44","0","0.65","2.3400","32","0"
"It was announced the  two companies would __________.","merge","0.9600","8.21","8","0.58","0.3200","10","7"
"To maximize profits, the companies decided to __________.","merge","0.3700","8.21","8","0.58","3.5700","10","7"
"Mary works for a politician who people love to __________.","hate","0.6300","10.70","26","0.59","2.6500","42","21"
"Ali disliked her boss, a man she had come to __________.","hate","0.3400","10.70","26","0.59","2.9300","42","21"
"Phil bought a strong pesticide to kill the __________.","bugs","0.3300","9.82","11","0.58","2.7000",\N,\N
"The farmer ran out of bacon and slaughtered the __________.","pig","0.8800","8.76","20","0.59","0.7200","8","18"
"At the luau, the cooks roasted an entire __________.","pig","0.8900","8.76","20","0.59","0.7100","8","18"
"The farmers won a blue ribbon for their fat __________.","pig","0.6200","8.76","20","0.59","1.9900","8","18"
"The delicious bacon came from the farmer's favorite __________.","pig","0.7000","8.76","20","0.59","1.6600","8","18"
"Bored in school, the student asked to skip a __________.","class","0.5200","11.45","11","0.68","1.8600","207","10"
"Cleaning the building's bathroom was Jared's weekly __________.","chores","0.6400","6.83","17","0.43","1.7400",\N,\N
"Lee wouldn't get allowance if she didn't finish her __________.","chores","0.6700","6.83","17","0.43","1.3200",\N,\N
"Drake didn't like eating barbecued meat because of the __________.","taste","0.3700","9.89","18","0.61","3.4000","59","8"
"Kristin did not like the healthy smoothie's __________.","taste","0.6200","9.89","18","0.61","1.8200","59","8"
"Kelsey told her date that smoking was her only __________.","vice","0.7500","9.67","13","0.65","1.8900","42","14"
"The mare was very protective of her __________.","foal","0.3900","5.57","36","0.37","2.8600","2","28"
"A crowd gathered to see the barn's newborn __________.","calf","0.6100","7.30","16","0.48","2.2100","11","17"
"After hours of hiking, Britt had worn out her __________.","shoes","0.5400","9.36","21","0.60","2.4100",\N,\N
"All the gym trainers were in great shape and __________.","fit","0.3600","10.66","28","0.65","3.5600","75","25"
"Because of diet and exercise the woman was quite __________.","fit","0.4200","10.66","28","0.65","2.5100","75","25"
"Lucas worked out at the gym everyday to get __________.","fit","0.3700","10.66","28","0.65","2.9900","75","25"
"Holly was disappointed that her pants no longer __________.","fit","0.9100","10.66","28","0.65","0.6400","75","25"
"Joe was frustrated because his jacket would not __________.","fit","0.4000","10.66","28","0.65","2.1900","75","25"
"The wedding dress was too small, and refused to __________.","fit","0.3800","10.66","28","0.65","2.9500","75","25"
"Some of the kids thought the professor wasn't __________.","smart","0.3500","9.79","1","0.62","3.9000","21","1"
"Derek planned to lift weights every day to get __________.","strong","0.3100","11.15","4","0.69","2.6600","202","2"
"Albert lived in a thatched hut that he __________.","built","0.9100","10.59","21","0.67","0.6200","103","15"
"After seeing the bill, Ruth forgot to __________.","pay","0.6500","11.80","27","0.66","1.9800","172","20"
"After canoeing all day, May's arms were __________.","tired","0.4600","9.86","10","0.58","1.9100","48","0"
"She had worked out that day and was very __________.","tired","0.6200","9.86","10","0.58","1.9500","48","0"
"The dog napped on the carpet because it was __________.","tired","0.3800","9.86","10","0.58","2.8800","48","0"
"Mary missed Ellen's birthday party because she was __________.","sick","0.6200","10.00","29","0.60","2.2900","51","23"
"The teacher was afraid of germs and getting __________.","sick","0.9200","10.00","29","0.60","0.6200","51","23"
"While pregnant, any strong odor made Viola __________.","sick","0.3500","10.00","29","0.60","2.8600","51","23"
"The kids claimed eating brussel sprouts would make them __________.","sick","0.5500","10.00","29","0.60","2.7600","51","23"
"Nicole spent the day watching TV when she was __________.","sick","0.6200","10.00","29","0.60","2.0900","51","23"
"Elizabeth rushed to the doctor whenever she felt __________.","sick","0.4500","10.00","29","0.60","1.7900","51","23"
"After three hours on the boat the boy got __________.","sick","0.5000","10.00","29","0.60","2.2900","51","23"
"The smell of the overflowing dumpster made Eva __________.","sick","0.4700","10.00","29","0.60","2.6800","51","23"
"Leah claimed that the fanatic was not mentally __________.","ill","0.3400","9.31","20","0.64","3.0900","39","15"
"After lifting weights, Lucas' muscles were extremely __________.","sore","0.4700","8.12","33","0.43","2.7800",\N,\N
"A week after the marathon Bailey's legs were still __________.","sore","0.7200","8.12","33","0.43","1.9400",\N,\N
"An ulcer on the skin is a painful __________.","sore","0.4100","8.12","33","0.43","3.2400",\N,\N
"The screaming little girl made the sitter very __________.","nervous","0.3300","8.81","2","0.59","3.2100","24","3"
"Rudeness was the one thing that made his father __________.","angry","0.4600","9.51","0","0.62","3.0100","45","0"
"That boy is always saying he'll someday be __________.","famous","0.3100","9.77","0","0.68","3.4200","89","0"
"The hotel shower had everything he needed except __________.","soap","0.4400","8.99","21","0.60","2.2300","22","17"
"His grandmother reminded him to use plenty of __________.","soap","0.4200","8.99","21","0.60","3.3600","22","17"
"When Ian's shirt shrunk, he used it as a __________.","rag","0.7800","8.25","24","0.49","1.2100","10","24"
"One cause of diabetes may be drinking too much __________.","soda","0.6700","8.12","5","0.55","1.9400","3","2"
"When driving, it is best to try not to __________.","speed","0.3700","11.42","7","0.66","2.9700","83","7"
"The waitress wiped the table with a damp __________.","cloth","0.7600","9.32","6","0.58","0.9100","43","2"
"Helen removed the paint from her face with a __________.","cloth","0.3300","9.32","6","0.58","2.6600","43","2"
"Cameron cleaned the spilled milk with a clean __________.","cloth","0.3300","9.32","6","0.58","1.8900","43","2"
"The aggressive mob's loud chants were filled with __________.","anger","0.3800","9.06","2","0.60","3.0600","48","2"
"At odds with the referee, Kyle was easy to __________.","anger","0.3300","9.06","2","0.60","4.2200","48","2"
"The stain was not noticeable; it was a tiny __________.","spot","0.4500","9.86","11","0.65","2.6900","57","10"
"Under his cap the lawyer sported a bald __________.","spot","0.5000","9.86","11","0.65","1.6800","57","10"
"They did the lice treatment but they missed a __________.","spot","0.5000","9.86","11","0.65","2.7700","57","10"
"It's dangerous when cars get stuck on a train __________.","track","0.9800","10.73","8","0.67","0.1400","38","7"
"After driving over the dirt, the truck left a __________.","track","0.3100","10.73","8","0.67","3.2700","38","7"
"The little girl thought that the brussel sprouts were __________.","gross","0.3600","9.03","13","0.60","3.6000","66","9"
"Mary agreed that a popsicle would be the right __________.","treat","0.4100","9.65","8","0.61","2.5200","26","7"
"The lion wasn't full-grown but only a __________.","cub","0.8600","7.18","17","0.50","0.8800","1","17"
"While on their camping trip, they saw a bear __________.","cub","0.4400","7.18","17","0.50","3.4000","1","17"
"It is difficult for any large business to __________.","succeed","0.3300","9.00","0","0.61","3.6900","15","0"
"The house on the hill seemed haunted by a __________.","ghost","0.8300","9.29","12","0.63","0.9000","11","9"
"For Halloween, the boy dressed as a ghastly __________.","ghost","0.3100","9.29","12","0.63","3.1400","11","9"
"In the haunted house, the woman spotted a __________.","ghost","0.8900","9.29","12","0.63","0.9000","11","9"
"Elizabeth was shaking because she thought she saw a __________.","ghost","0.4000","9.29","12","0.63","3.3500","11","9"
"Joseph knew the house was haunted after seeing the __________.","ghost","0.8200","9.29","12","0.63","1.3800","11","9"
"Nigel's home was haunted by a vengeful __________.","ghost","0.6400","9.29","12","0.63","1.4400","11","9"
"Mia left the theater looking like she had seen a __________.","ghost","0.9600","9.29","12","0.63","0.3200","11","9"
"The daughter refused to sleep because she saw a __________.","ghost","0.4300","9.29","12","0.63","2.5600","11","9"
"The queen rewarded Andrew for being a chivalrous __________.","knight","0.5600","9.81","30","0.64","2.4600","429","22"
"Little Amelia's favorite toy was her hula __________.","hoop","0.9900","7.15","20","0.44","0.0800","3","15"
"At the show, all the animals jumped through a __________.","hoop","0.9400","7.15","20","0.44","0.4600","3","15"
"The woman's earring was a small silver __________.","hoop","0.3200","7.15","20","0.44","3.5800","3","15"
"Daniel backed his car into the base of the basketball __________.","hoop","0.3600","7.15","20","0.44","2.8900","3","15"
"The elementary school girl loved to hula __________.","hoop","0.8300","7.15","20","0.44","0.7100","3","15"
"It was clear that the enraged teenager wasn't __________.","happy","0.4000","11.17","5","0.65","3.7500","98","2"
"Terry thought the shirt was bland because it was __________.","white","0.4400","11.92","8","0.69","3.1300","365","7"
"They were worried because the timing had to be __________.","perfect","0.6700","10.64","0","0.66","1.5700","58","0"
"The old vampire's tactic is to bite and __________.","suck","0.6800","9.53","26","0.45","1.9300","5","20"
"Eliana turned around and saw the ghostly __________.","figure","0.4500","10.94","0","0.67","2.9800","209","0"
"Tiffany was grossed out at the sight of the __________.","blood","0.4300","10.86","7","0.66","3.8000","121","6"
"Thomas didn't have a lighter to light the __________.","fire","0.4300","11.05","21","0.68","2.3700","187","18"
"As boss, Colin had many people he wanted to __________.","fire","0.5600","11.05","21","0.68","2.8400","187","18"
"The city was badly destroyed after the __________.","fire","0.3400","11.05","21","0.68","2.8900","187","18"
"Even though it was wet they tried lighting the __________.","fire","0.3100","11.05","21","0.68","3.0300","187","18"
"An eloquent speaker, Ryder was often asked to __________.","speak","0.5100","10.89","10","0.64","2.8900","110","9"
"Luke tried to be silent but he had to __________.","speak","0.3400","10.89","10","0.64","3.2500","110","9"
"On Saturday night, Mark hung out with his __________.","friends","0.7600","11.26","1","0.68","1.5800",\N,\N
"Kate played alone as she was excluded by her __________.","friends","0.4200","11.26","1","0.68","2.7200",\N,\N
"Catherine was offered food, but she already had her __________.","dinner","0.3700","9.48","12","0.61","2.8200","91","10"
"When the musicians played, they always kept the __________.","beat","0.4900","10.41","37","0.65","2.9400","68","26"
"The DJ liked the song because of the fast __________.","beat","0.7600","10.41","37","0.65","1.1100","68","26"
"Preston thought the song had quite a catchy __________.","tune","0.5200","9.41","24","0.61","2.2500","10","23"
"The firefighter's rescue of the cat was a brave __________.","act","0.3900","11.19","8","0.68","2.9300","283","4"
"Tom held rank just below the monarch as a __________.","prince","0.3300","9.31","3","0.66","3.8600","33","2"
